date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:52	7933/7933	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:51:28%20GMT	http://www.mavala.in/home/2016_pisolgad/06small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/06small.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
15:24:54	6542/6542	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:52:12%20GMT	http://www.mavala.in/home/2016_pisolgad/07small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/07small.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
15:25:01	131403/131403	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:51:28%20GMT	http://www.mavala.in/home/2016_pisolgad/06.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/06.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
15:25:02	47987/47987	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:51:28%20GMT	http://www.mavala.in/home/2016_pisolgad/08.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/08.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
15:25:02	59218/59218	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:51:28%20GMT	http://www.mavala.in/home/2016_pisolgad/07.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/07.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
15:25:02	6631/6631	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:52:04%20GMT	http://www.mavala.in/home/2016_pisolgad/08small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/08small.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
15:25:04	8188/8188	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:52:44%20GMT	http://www.mavala.in/home/2016_pisolgad/09small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/09small.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
15:25:06	6581/6581	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:51:26%20GMT	http://www.mavala.in/home/2016_pisolgad/10small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/10small.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
15:25:09	217136/217136	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:51:30%20GMT	http://www.mavala.in/home/2016_pisolgad/05.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/05.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
15:25:10	6378/6378	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:51:24%20GMT	http://www.mavala.in/home/2016_pisolgad/11small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/11small.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
15:25:12	69218/69218	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:51:26%20GMT	http://www.mavala.in/home/2016_pisolgad/09.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/09.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
15:25:14	5574/5574	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jan%202017%2010:51:34%20GMT	http://www.mavala.in/home/2016_pisolgad/12small.jpg	C:/Users/phoenix%20computer/Desktop/setu%20code%20html/New%20folder%20(2)/mayur2/www.mavala.in/home/2016_pisolgad/12small.jpg	(from http://www.mavala.in/home/2016_pisolgad.html)
